case_id,preference_id,target_route_id,selected_route_id,match,parse_ok,model,prompt,raw_response,error
semantic_constraint_000,shortest,r_short,r_short,1,1,lfm-2.5-8b-1b-hermes-ft,"[{""role"": ""system"", ""content"": ""Complete the answer with one option letter only: A, B, C, D, or E.""}, {""role"": ""user"", ""content"": ""Select one route option for a mobile robot.\nCase: semantic_constraint_000.\nPreference: Prefer the shortest route when safety is similar.\nOptions:\nA: route_id=r_short; short direct route; length=14.59; turns=2; min_clearance=0.55; semantic_risk=0.187\nB: route_id=r_safe; risk-avoiding detour; length=19.26; turns=5; min_clearance=1.15; semantic_risk=0.03\nC: route_id=r_smooth; smooth route with fewer turns; length=16.92; turns=1; min_clearance=0.82; semantic_risk=0.14\nD: route_id=r_clear; wide-clearance route; length=18.09; turns=4; min_clearance=1.45; semantic_risk=0.09\nE: route_id=r_balanced; moderate route balancing length and risk; length=16.05; turns=3; min_clearance=0.95; semantic_risk=0.08\nChoose the option that best matches the preference.\nCorrect answer is""}]",A,
semantic_constraint_000,lowest_risk,r_safe,r_short,0,1,lfm-2.5-8b-1b-hermes-ft,"[{""role"": ""system"", ""content"": ""Complete the answer with one option letter only: A, B, C, D, or E.""}, {""role"": ""user"", ""content"": ""Select one route option for a mobile robot.\nCase: semantic_constraint_000.\nPreference: Prefer the route that stays farthest from the semantic-risk region, even if longer.\nOptions:\nA: route_id=r_short; short direct route; length=14.59; turns=2; min_clearance=0.55; semantic_risk=0.187\nB: route_id=r_safe; risk-avoiding detour; length=19.26; turns=5; min_clearance=1.15; semantic_risk=0.03\nC: route_id=r_smooth; smooth route with fewer turns; length=16.92; turns=1; min_clearance=0.82; semantic_risk=0.14\nD: route_id=r_clear; wide-clearance route; length=18.09; turns=4; min_clearance=1.45; semantic_risk=0.09\nE: route_id=r_balanced; moderate route balancing length and risk; length=16.05; turns=3; min_clearance=0.95; semantic_risk=0.08\nChoose the option that best matches the preference.\nCorrect answer is""}]",A,
semantic_constraint_000,fewest_turns,r_smooth,r_short,0,1,lfm-2.5-8b-1b-hermes-ft,"[{""role"": ""system"", ""content"": ""Complete the answer with one option letter only: A, B, C, D, or E.""}, {""role"": ""user"", ""content"": ""Select one route option for a mobile robot.\nCase: semantic_constraint_000.\nPreference: Prefer the route with fewer sharp turns.\nOptions:\nA: route_id=r_short; short direct route; length=14.59; turns=2; min_clearance=0.55; semantic_risk=0.187\nB: route_id=r_safe; risk-avoiding detour; length=19.26; turns=5; min_clearance=1.15; semantic_risk=0.03\nC: route_id=r_smooth; smooth route with fewer turns; length=16.92; turns=1; min_clearance=0.82; semantic_risk=0.14\nD: route_id=r_clear; wide-clearance route; length=18.09; turns=4; min_clearance=1.45; semantic_risk=0.09\nE: route_id=r_balanced; moderate route balancing length and risk; length=16.05; turns=3; min_clearance=0.95; semantic_risk=0.08\nChoose the option that best matches the preference.\nCorrect answer is""}]",A,
semantic_constraint_000,high_clearance,r_clear,r_short,0,1,lfm-2.5-8b-1b-hermes-ft,"[{""role"": ""system"", ""content"": ""Complete the answer with one option letter only: A, B, C, D, or E.""}, {""role"": ""user"", ""content"": ""Select one route option for a mobile robot.\nCase: semantic_constraint_000.\nPreference: Prefer the route with the highest clearance from obstacles and narrow passages.\nOptions:\nA: route_id=r_short; short direct route; length=14.59; turns=2; min_clearance=0.55; semantic_risk=0.187\nB: route_id=r_safe; risk-avoiding detour; length=19.26; turns=5; min_clearance=1.15; semantic_risk=0.03\nC: route_id=r_smooth; smooth route with fewer turns; length=16.92; turns=1; min_clearance=0.82; semantic_risk=0.14\nD: route_id=r_clear; wide-clearance route; length=18.09; turns=4; min_clearance=1.45; semantic_risk=0.09\nE: route_id=r_balanced; moderate route balancing length and risk; length=16.05; turns=3; min_clearance=0.95; semantic_risk=0.08\nChoose the option that best matches the preference.\nCorrect answer is""}]",A,
semantic_constraint_000,balanced,r_balanced,r_short,0,1,lfm-2.5-8b-1b-hermes-ft,"[{""role"": ""system"", ""content"": ""Complete the answer with one option letter only: A, B, C, D, or E.""}, {""role"": ""user"", ""content"": ""Select one route option for a mobile robot.\nCase: semantic_constraint_000.\nPreference: Choose a balanced route that avoids high risk without being much longer.\nOptions:\nA: route_id=r_short; short direct route; length=14.59; turns=2; min_clearance=0.55; semantic_risk=0.187\nB: route_id=r_safe; risk-avoiding detour; length=19.26; turns=5; min_clearance=1.15; semantic_risk=0.03\nC: route_id=r_smooth; smooth route with fewer turns; length=16.92; turns=1; min_clearance=0.82; semantic_risk=0.14\nD: route_id=r_clear; wide-clearance route; length=18.09; turns=4; min_clearance=1.45; semantic_risk=0.09\nE: route_id=r_balanced; moderate route balancing length and risk; length=16.05; turns=3; min_clearance=0.95; semantic_risk=0.08\nChoose the option that best matches the preference.\nCorrect answer is""}]",A,
semantic_constraint_001,shortest,r_short,r_short,1,1,lfm-2.5-8b-1b-hermes-ft,"[{""role"": ""system"", ""content"": ""Complete the answer with one option letter only: A, B, C, D, or E.""}, {""role"": ""user"", ""content"": ""Select one route option for a mobile robot.\nCase: semantic_constraint_001.\nPreference: Prefer the shortest route when safety is similar.\nOptions:\nA: route_id=r_short; short direct route; length=11.11; turns=2; min_clearance=0.55; semantic_risk=0.126\nB: route_id=r_safe; risk-avoiding detour; length=14.67; turns=5; min_clearance=1.15; semantic_risk=0.03\nC: route_id=r_smooth; smooth route with fewer turns; length=12.89; turns=1; min_clearance=0.82; semantic_risk=0.14\nD: route_id=r_clear; wide-clearance route; length=13.78; turns=4; min_clearance=1.45; semantic_risk=0.09\nE: route_id=r_balanced; moderate route balancing length and risk; length=12.22; turns=3; min_clearance=0.95; semantic_risk=0.08\nChoose the option that best matches the preference.\nCorrect answer is""}]",A,
semantic_constraint_001,lowest_risk,r_safe,r_short,0,1,lfm-2.5-8b-1b-hermes-ft,"[{""role"": ""system"", ""content"": ""Complete the answer with one option letter only: A, B, C, D, or E.""}, {""role"": ""user"", ""content"": ""Select one route option for a mobile robot.\nCase: semantic_constraint_001.\nPreference: Prefer the route that stays farthest from the semantic-risk region, even if longer.\nOptions:\nA: route_id=r_short; short direct route; length=11.11; turns=2; min_clearance=0.55; semantic_risk=0.126\nB: route_id=r_safe; risk-avoiding detour; length=14.67; turns=5; min_clearance=1.15; semantic_risk=0.03\nC: route_id=r_smooth; smooth route with fewer turns; length=12.89; turns=1; min_clearance=0.82; semantic_risk=0.14\nD: route_id=r_clear; wide-clearance route; length=13.78; turns=4; min_clearance=1.45; semantic_risk=0.09\nE: route_id=r_balanced; moderate route balancing length and risk; length=12.22; turns=3; min_clearance=0.95; semantic_risk=0.08\nChoose the option that best matches the preference.\nCorrect answer is""}]",A,
semantic_constraint_001,fewest_turns,r_smooth,r_short,0,1,lfm-2.5-8b-1b-hermes-ft,"[{""role"": ""system"", ""content"": ""Complete the answer with one option letter only: A, B, C, D, or E.""}, {""role"": ""user"", ""content"": ""Select one route option for a mobile robot.\nCase: semantic_constraint_001.\nPreference: Prefer the route with fewer sharp turns.\nOptions:\nA: route_id=r_short; short direct route; length=11.11; turns=2; min_clearance=0.55; semantic_risk=0.126\nB: route_id=r_safe; risk-avoiding detour; length=14.67; turns=5; min_clearance=1.15; semantic_risk=0.03\nC: route_id=r_smooth; smooth route with fewer turns; length=12.89; turns=1; min_clearance=0.82; semantic_risk=0.14\nD: route_id=r_clear; wide-clearance route; length=13.78; turns=4; min_clearance=1.45; semantic_risk=0.09\nE: route_id=r_balanced; moderate route balancing length and risk; length=12.22; turns=3; min_clearance=0.95; semantic_risk=0.08\nChoose the option that best matches the preference.\nCorrect answer is""}]",A,
semantic_constraint_001,high_clearance,r_clear,r_short,0,1,lfm-2.5-8b-1b-hermes-ft,"[{""role"": ""system"", ""content"": ""Complete the answer with one option letter only: A, B, C, D, or E.""}, {""role"": ""user"", ""content"": ""Select one route option for a mobile robot.\nCase: semantic_constraint_001.\nPreference: Prefer the route with the highest clearance from obstacles and narrow passages.\nOptions:\nA: route_id=r_short; short direct route; length=11.11; turns=2; min_clearance=0.55; semantic_risk=0.126\nB: route_id=r_safe; risk-avoiding detour; length=14.67; turns=5; min_clearance=1.15; semantic_risk=0.03\nC: route_id=r_smooth; smooth route with fewer turns; length=12.89; turns=1; min_clearance=0.82; semantic_risk=0.14\nD: route_id=r_clear; wide-clearance route; length=13.78; turns=4; min_clearance=1.45; semantic_risk=0.09\nE: route_id=r_balanced; moderate route balancing length and risk; length=12.22; turns=3; min_clearance=0.95; semantic_risk=0.08\nChoose the option that best matches the preference.\nCorrect answer is""}]",A,
semantic_constraint_001,balanced,r_balanced,r_short,0,1,lfm-2.5-8b-1b-hermes-ft,"[{""role"": ""system"", ""content"": ""Complete the answer with one option letter only: A, B, C, D, or E.""}, {""role"": ""user"", ""content"": ""Select one route option for a mobile robot.\nCase: semantic_constraint_001.\nPreference: Choose a balanced route that avoids high risk without being much longer.\nOptions:\nA: route_id=r_short; short direct route; length=11.11; turns=2; min_clearance=0.55; semantic_risk=0.126\nB: route_id=r_safe; risk-avoiding detour; length=14.67; turns=5; min_clearance=1.15; semantic_risk=0.03\nC: route_id=r_smooth; smooth route with fewer turns; length=12.89; turns=1; min_clearance=0.82; semantic_risk=0.14\nD: route_id=r_clear; wide-clearance route; length=13.78; turns=4; min_clearance=1.45; semantic_risk=0.09\nE: route_id=r_balanced; moderate route balancing length and risk; length=12.22; turns=3; min_clearance=0.95; semantic_risk=0.08\nChoose the option that best matches the preference.\nCorrect answer is""}]",A,
