case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
reference_villa_ground_semantic_constraint_000,semantic_constraint,reference_villa_ground,-14.200,0.400,-12.000,11.400,0.4708,11.218,6,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-13.140,5.908,2.600
reference_villa_ground_semantic_constraint_001,semantic_constraint,reference_villa_ground,-0.200,4.600,-12.000,11.400,0.3437,13.619,7,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-5.817,8.491,2.600
reference_villa_ground_semantic_constraint_002,semantic_constraint,reference_villa_ground,-4.800,-6.400,17.000,15.000,-2.5038,30.548,24,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,5.914,4.489,2.600
reference_villa_ground_semantic_constraint_003,semantic_constraint,reference_villa_ground,-0.200,4.600,15.400,-9.500,3.1175,21.028,13,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,7.855,-2.168,2.600
reference_villa_ground_semantic_constraint_004,semantic_constraint,reference_villa_ground,17.000,15.000,-4.800,-6.400,-0.5603,30.548,22,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,5.876,4.528,2.600
reference_villa_ground_semantic_constraint_005,semantic_constraint,reference_villa_ground,-0.200,4.600,-14.200,0.400,-1.0040,14.616,7,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-7.190,2.466,2.600
reference_villa_ground_semantic_constraint_006,semantic_constraint,reference_villa_ground,-0.200,4.600,-16.000,16.000,-0.8633,19.483,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-8.302,10.021,2.600
reference_villa_ground_semantic_constraint_007,semantic_constraint,reference_villa_ground,-14.200,0.400,-8.500,-18.500,-2.0666,19.741,11,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-12.238,-9.318,2.600
reference_villa_ground_semantic_constraint_008,semantic_constraint,reference_villa_ground,4.042,3.676,13.921,-0.689,2.8900,10.800,7,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,9.133,1.837,2.600
reference_villa_ground_semantic_constraint_009,semantic_constraint,reference_villa_ground,-5.300,-5.000,16.800,-12.400,2.5550,23.306,15,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,5.631,-9.054,2.600
reference_villa_ground_semantic_constraint_010,semantic_constraint,reference_villa_ground,13.800,7.000,-7.000,10.200,-0.2267,21.045,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,3.722,10.696,2.600
reference_villa_ground_semantic_constraint_011,semantic_constraint,reference_villa_ground,13.800,7.000,-12.000,11.400,-2.8019,26.173,15,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,0.974,9.636,2.600
reference_villa_ground_semantic_constraint_012,semantic_constraint,reference_villa_ground,-4.800,-6.400,-8.500,-18.500,0.9259,12.653,9,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-5.188,-12.897,2.600
reference_villa_ground_semantic_constraint_013,semantic_constraint,reference_villa_ground,-12.000,11.400,-8.500,-18.500,0.0468,30.104,16,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-10.759,-3.610,2.600
reference_villa_ground_semantic_constraint_014,semantic_constraint,reference_villa_ground,17.988,-19.576,-2.916,-17.474,-0.9483,21.009,11,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,7.481,-19.075,2.600
reference_villa_ground_semantic_constraint_015,semantic_constraint,reference_villa_ground,6.066,17.101,0.369,-4.329,-2.4126,22.174,13,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.432,6.063,2.600
reference_villa_ground_semantic_constraint_016,semantic_constraint,reference_villa_ground,-7.000,10.200,17.000,15.000,1.4361,24.475,15,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.971,12.746,2.600
reference_villa_ground_semantic_constraint_017,semantic_constraint,reference_villa_ground,6.619,-3.292,-12.163,-10.978,-0.3912,20.294,13,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-2.555,-7.665,2.600
reference_villa_ground_semantic_constraint_018,semantic_constraint,reference_villa_ground,1.739,-3.797,-6.266,-19.717,1.1984,17.819,10,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-2.615,-11.580,2.600
