case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
studio_apartment_semantic_constraint_000,semantic_constraint,studio_apartment,9.028,-12.827,6.886,7.940,3.0553,20.877,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,7.791,-2.461,2.600
studio_apartment_semantic_constraint_001,semantic_constraint,studio_apartment,1.288,20.459,8.865,25.204,1.3153,8.940,7,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.962,23.014,2.600
studio_apartment_semantic_constraint_002,semantic_constraint,studio_apartment,-9.500,24.000,-11.500,16.000,0.2363,8.246,4,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-11.018,20.129,2.600
studio_apartment_semantic_constraint_003,semantic_constraint,studio_apartment,-4.186,-8.887,6.525,-15.006,1.1442,12.336,6,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,1.111,-12.049,2.600
studio_apartment_semantic_constraint_004,semantic_constraint,studio_apartment,10.598,-4.387,-9.055,-18.905,-0.8484,24.434,13,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,0.733,-11.593,2.600
studio_apartment_semantic_constraint_005,semantic_constraint,studio_apartment,-2.353,21.810,-11.724,9.916,3.0364,15.142,13,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-6.896,15.750,2.600
studio_apartment_semantic_constraint_006,semantic_constraint,studio_apartment,-11.426,-17.803,3.067,-26.503,-1.0247,16.904,8,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-4.270,-22.305,2.600
studio_apartment_semantic_constraint_007,semantic_constraint,studio_apartment,-11.500,16.000,-6.000,-12.000,0.2935,28.535,18,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-8.472,2.055,2.600
studio_apartment_semantic_constraint_008,semantic_constraint,studio_apartment,9.000,6.500,8.000,-24.000,-1.3743,30.516,17,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,8.533,-8.751,2.600
studio_apartment_semantic_constraint_009,semantic_constraint,studio_apartment,7.306,15.928,2.244,22.350,0.0945,8.177,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.430,18.867,2.600
studio_apartment_semantic_constraint_010,semantic_constraint,studio_apartment,8.513,5.838,7.034,22.225,0.0002,16.454,10,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,6.264,13.895,2.600
studio_apartment_semantic_constraint_011,semantic_constraint,studio_apartment,11.784,-6.166,-5.663,-7.297,0.3625,17.484,9,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,3.087,-7.145,2.600
studio_apartment_semantic_constraint_012,semantic_constraint,studio_apartment,-2.977,5.411,-11.984,10.241,1.5051,10.220,6,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-7.378,8.017,2.600
studio_apartment_semantic_constraint_013,semantic_constraint,studio_apartment,-11.500,16.000,-6.000,-12.000,1.6903,28.535,18,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-9.235,1.905,2.600
studio_apartment_semantic_constraint_014,semantic_constraint,studio_apartment,-6.000,-12.000,-11.500,16.000,2.7648,28.535,18,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-9.298,1.892,2.600
studio_apartment_semantic_constraint_015,semantic_constraint,studio_apartment,6.731,14.976,2.635,-7.526,-1.2939,22.872,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.054,3.839,2.600
studio_apartment_semantic_constraint_016,semantic_constraint,studio_apartment,7.799,24.430,-3.541,23.110,-0.4209,11.417,8,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,2.059,24.374,2.600
studio_apartment_semantic_constraint_017,semantic_constraint,studio_apartment,-1.936,1.220,-10.581,24.392,-1.4560,24.732,16,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-6.082,12.872,2.600
studio_apartment_semantic_constraint_018,semantic_constraint,studio_apartment,-1.195,25.409,-11.390,15.245,0.3603,14.396,10,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-6.331,20.365,2.600
studio_apartment_semantic_constraint_019,semantic_constraint,studio_apartment,0.174,-5.792,5.904,18.230,-1.9264,24.696,18,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,3.502,6.108,2.600
studio_apartment_semantic_constraint_020,semantic_constraint,studio_apartment,-8.447,-13.413,-0.456,-21.818,1.6985,11.597,6,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-4.209,-17.385,2.600
studio_apartment_semantic_constraint_021,semantic_constraint,studio_apartment,9.000,6.500,-11.500,16.000,-0.9644,22.594,15,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-1.386,10.957,2.600
studio_apartment_semantic_constraint_022,semantic_constraint,studio_apartment,-6.000,-12.000,8.000,-24.000,1.0975,18.439,11,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,1.303,-17.647,2.600
