case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
luxury_villa_semantic_constraint_000,semantic_constraint,luxury_villa,-20.568,-14.858,-17.171,-31.950,2.2095,17.426,16,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-19.330,-23.496,2.600
luxury_villa_semantic_constraint_001,semantic_constraint,luxury_villa,14.000,13.000,-17.000,13.000,1.0534,31.000,22,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-1.500,13.079,2.600
luxury_villa_semantic_constraint_002,semantic_constraint,luxury_villa,8.432,0.683,1.239,-14.163,2.1614,16.497,8,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.809,-6.727,2.600
luxury_villa_semantic_constraint_003,semantic_constraint,luxury_villa,-17.000,13.000,0.000,37.000,3.0452,29.411,24,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-7.985,24.635,2.600
luxury_villa_semantic_constraint_004,semantic_constraint,luxury_villa,0.000,37.000,14.000,13.000,2.9615,27.785,21,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,6.452,24.680,2.600
luxury_villa_semantic_constraint_005,semantic_constraint,luxury_villa,13.980,24.041,4.064,34.689,-0.4708,14.550,19,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,8.793,29.152,2.600
luxury_villa_semantic_constraint_006,semantic_constraint,luxury_villa,0.000,37.000,14.000,13.000,2.9755,27.785,21,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,7.341,25.199,2.600
luxury_villa_semantic_constraint_007,semantic_constraint,luxury_villa,10.519,1.682,-12.260,1.616,2.0188,22.779,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-0.870,1.649,2.600
luxury_villa_semantic_constraint_008,semantic_constraint,luxury_villa,-1.902,-32.831,-21.758,-15.956,-1.5900,26.058,12,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-11.742,-24.290,2.600
luxury_villa_semantic_constraint_009,semantic_constraint,luxury_villa,-15.045,-7.462,-11.222,-37.416,-2.8117,30.197,20,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-12.977,-22.419,2.600
luxury_villa_semantic_constraint_010,semantic_constraint,luxury_villa,4.000,24.000,14.000,13.000,2.6638,14.866,15,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,8.653,18.185,2.600
luxury_villa_semantic_constraint_011,semantic_constraint,luxury_villa,4.000,24.000,0.000,37.000,1.6426,13.601,7,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,1.997,30.499,2.600
luxury_villa_semantic_constraint_012,semantic_constraint,luxury_villa,14.000,13.000,-17.000,13.000,0.8431,31.000,22,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-1.500,12.481,2.600
luxury_villa_semantic_constraint_013,semantic_constraint,luxury_villa,22.100,27.779,9.236,29.972,-0.4575,13.050,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,15.717,29.165,2.600
luxury_villa_semantic_constraint_014,semantic_constraint,luxury_villa,6.183,5.077,14.744,-4.753,1.6979,13.035,8,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,10.242,-0.031,2.600
luxury_villa_semantic_constraint_015,semantic_constraint,luxury_villa,-17.000,13.000,4.000,24.000,2.9407,23.707,18,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-6.352,18.217,2.600
luxury_villa_semantic_constraint_016,semantic_constraint,luxury_villa,8.019,-25.723,-8.637,-3.351,1.3487,27.891,17,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,0.143,-14.200,2.600
luxury_villa_semantic_constraint_017,semantic_constraint,luxury_villa,13.434,-17.303,-1.976,-31.936,-1.2250,21.251,16,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,5.987,-24.892,2.600
luxury_villa_semantic_constraint_018,semantic_constraint,luxury_villa,-1.763,13.862,-2.345,27.079,-2.7417,13.230,7,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-2.235,20.463,2.600
luxury_villa_semantic_constraint_019,semantic_constraint,luxury_villa,4.000,24.000,0.000,37.000,-2.3396,13.601,7,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,2.075,30.523,2.600
luxury_villa_semantic_constraint_020,semantic_constraint,luxury_villa,-21.133,-39.919,-14.480,-27.059,-0.4816,14.479,13,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-18.319,-33.224,2.600
luxury_villa_semantic_constraint_021,semantic_constraint,luxury_villa,-17.759,-16.997,-4.148,-24.678,-2.5328,15.629,8,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-10.652,-20.303,2.600
luxury_villa_semantic_constraint_022,semantic_constraint,luxury_villa,14.000,13.000,-17.000,13.000,-0.6193,31.000,22,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-1.500,12.747,2.600
luxury_villa_semantic_constraint_023,semantic_constraint,luxury_villa,-13.923,23.751,-9.619,38.856,-1.8664,15.706,15,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-13.229,31.719,2.600
luxury_villa_semantic_constraint_024,semantic_constraint,luxury_villa,-17.000,13.000,-12.000,-18.000,-2.3998,31.401,18,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-14.850,-2.556,2.600
luxury_villa_semantic_constraint_025,semantic_constraint,luxury_villa,-2.735,-22.550,2.092,-3.458,0.2534,19.693,9,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-0.266,-13.018,2.600
luxury_villa_semantic_constraint_026,semantic_constraint,luxury_villa,1.406,30.024,6.599,23.446,2.6557,8.381,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.264,26.941,2.600
luxury_villa_semantic_constraint_027,semantic_constraint,luxury_villa,6.526,-23.689,15.576,-1.164,-0.3180,24.275,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,10.579,-12.237,2.600
luxury_villa_semantic_constraint_028,semantic_constraint,luxury_villa,-17.000,13.000,14.000,13.000,-0.6334,31.000,20,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-1.500,13.384,2.600
luxury_villa_semantic_constraint_029,semantic_constraint,luxury_villa,-10.098,-1.368,-4.243,-28.736,-2.0133,27.987,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-6.658,-14.942,2.600
luxury_villa_semantic_constraint_030,semantic_constraint,luxury_villa,-17.414,30.098,10.958,27.804,-1.4180,28.465,28,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-3.270,28.428,2.600
luxury_villa_semantic_constraint_031,semantic_constraint,luxury_villa,-17.000,13.000,14.000,13.000,2.4740,31.000,20,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-1.500,13.209,2.600
luxury_villa_semantic_constraint_032,semantic_constraint,luxury_villa,4.000,24.000,0.000,37.000,-2.4445,13.601,7,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,1.710,30.411,2.600
luxury_villa_semantic_constraint_033,semantic_constraint,luxury_villa,-13.134,19.634,-16.446,2.251,0.9003,17.696,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-15.024,10.987,2.600
luxury_villa_semantic_constraint_034,semantic_constraint,luxury_villa,14.000,13.000,4.000,24.000,2.8280,14.866,15,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,8.657,18.188,2.600
