case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
townhouse_long_semantic_constraint_000,semantic_constraint,townhouse_long,-3.000,36.000,5.500,20.000,-1.8225,18.118,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,1.223,27.986,2.600
townhouse_long_semantic_constraint_001,semantic_constraint,townhouse_long,5.500,20.000,0.000,-8.000,-0.6917,28.535,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,2.328,6.083,2.600
townhouse_long_semantic_constraint_002,semantic_constraint,townhouse_long,6.950,-2.819,3.042,7.011,-1.2473,10.578,5,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.620,1.946,2.600
townhouse_long_semantic_constraint_003,semantic_constraint,townhouse_long,8.368,4.566,-6.369,-22.380,-0.4272,30.713,16,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,1.165,-8.997,2.600
townhouse_long_semantic_constraint_004,semantic_constraint,townhouse_long,2.184,26.459,-1.833,19.239,-0.9150,8.262,6,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,1.376,22.181,2.600
townhouse_long_semantic_constraint_005,semantic_constraint,townhouse_long,-5.518,36.440,5.475,23.875,-0.1545,16.695,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,0.768,30.848,2.600
townhouse_long_semantic_constraint_006,semantic_constraint,townhouse_long,-3.000,36.000,6.000,12.000,-2.5060,25.632,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,1.084,23.844,2.600
townhouse_long_semantic_constraint_007,semantic_constraint,townhouse_long,6.000,12.000,-5.500,20.000,2.5635,14.009,7,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,0.551,16.433,2.600
townhouse_long_semantic_constraint_008,semantic_constraint,townhouse_long,-5.500,20.000,6.000,12.000,1.7099,14.009,7,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,0.062,15.730,2.600
townhouse_long_semantic_constraint_009,semantic_constraint,townhouse_long,8.332,22.884,-3.758,34.140,2.0216,16.519,13,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,2.542,28.786,2.600
townhouse_long_semantic_constraint_010,semantic_constraint,townhouse_long,-4.854,-12.454,6.046,-11.631,-0.1379,10.931,5,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,0.549,-11.424,2.600
townhouse_long_semantic_constraint_011,semantic_constraint,townhouse_long,7.301,11.213,-7.872,10.183,-0.9412,15.208,7,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-0.272,10.495,2.600
townhouse_long_semantic_constraint_012,semantic_constraint,townhouse_long,2.358,27.670,-8.525,30.380,2.6315,11.215,13,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-3.085,29.020,2.600
townhouse_long_semantic_constraint_013,semantic_constraint,townhouse_long,-0.665,5.556,4.511,34.045,-2.3663,28.955,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,2.037,19.780,2.600
townhouse_long_semantic_constraint_014,semantic_constraint,townhouse_long,6.000,12.000,-5.500,20.000,2.9363,14.009,7,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,0.164,15.876,2.600
townhouse_long_semantic_constraint_015,semantic_constraint,townhouse_long,0.000,-8.000,6.000,12.000,-2.2481,20.881,11,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,2.560,2.132,2.600
townhouse_long_semantic_constraint_016,semantic_constraint,townhouse_long,-0.551,-38.577,-0.398,-20.010,-1.9750,18.568,9,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-0.032,-29.297,2.600
