case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
reference_family_flat_semantic_constraint_000,semantic_constraint,reference_family_flat,8.500,-15.500,-2.500,-6.000,2.8734,14.534,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,3.121,-10.610,2.600
reference_family_flat_semantic_constraint_001,semantic_constraint,reference_family_flat,-1.583,-5.433,5.938,-0.721,2.1108,8.875,5,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,2.384,-3.407,2.600
reference_family_flat_semantic_constraint_002,semantic_constraint,reference_family_flat,3.500,14.000,17.000,12.000,0.6978,13.647,16,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,10.339,13.600,2.600
reference_family_flat_semantic_constraint_003,semantic_constraint,reference_family_flat,13.988,-6.305,-0.921,-14.665,-0.2576,17.093,9,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,6.263,-10.002,2.600
reference_family_flat_semantic_constraint_004,semantic_constraint,reference_family_flat,-5.663,8.005,5.609,-16.074,2.1147,26.587,15,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,1.362,-3.384,2.600
reference_family_flat_semantic_constraint_005,semantic_constraint,reference_family_flat,19.000,5.000,-2.500,-6.000,1.0478,24.151,13,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,8.185,-0.374,2.600
reference_family_flat_semantic_constraint_006,semantic_constraint,reference_family_flat,-16.145,-17.195,6.043,-10.737,-0.2951,23.109,26,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-5.170,-13.556,2.600
reference_family_flat_semantic_constraint_007,semantic_constraint,reference_family_flat,8.500,-15.500,17.000,12.000,-1.1260,28.784,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,13.210,-1.892,2.600
reference_family_flat_semantic_constraint_008,semantic_constraint,reference_family_flat,-5.921,-8.827,8.694,-0.069,-2.6587,17.038,10,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,1.350,-4.387,2.600
reference_family_flat_semantic_constraint_009,semantic_constraint,reference_family_flat,-15.217,16.537,-23.695,17.554,3.1366,8.539,5,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-19.441,17.173,2.600
reference_family_flat_semantic_constraint_010,semantic_constraint,reference_family_flat,-5.073,17.259,9.915,5.260,0.8692,19.199,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,2.065,10.815,2.600
reference_family_flat_semantic_constraint_011,semantic_constraint,reference_family_flat,-2.500,-6.000,17.000,12.000,-0.6790,26.538,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,6.917,3.361,2.600
reference_family_flat_semantic_constraint_012,semantic_constraint,reference_family_flat,-3.069,1.163,-23.622,-2.010,1.7677,20.796,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-13.276,-0.872,2.600
reference_family_flat_semantic_constraint_013,semantic_constraint,reference_family_flat,-10.890,-11.613,-17.266,11.455,-2.3903,23.933,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-14.522,-0.202,2.600
reference_family_flat_semantic_constraint_014,semantic_constraint,reference_family_flat,-2.658,3.174,15.163,15.799,-1.5893,21.840,15,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,6.110,9.688,2.600
reference_family_flat_semantic_constraint_015,semantic_constraint,reference_family_flat,16.059,17.992,10.206,-4.940,0.1128,23.667,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,13.201,6.509,2.600
reference_family_flat_semantic_constraint_016,semantic_constraint,reference_family_flat,-8.500,10.000,-2.500,-6.000,2.2392,17.088,10,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-5.398,2.038,2.600
reference_family_flat_semantic_constraint_017,semantic_constraint,reference_family_flat,21.100,-12.744,10.943,-9.489,2.8070,10.666,8,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,16.122,-10.803,2.600
reference_family_flat_semantic_constraint_018,semantic_constraint,reference_family_flat,-21.500,3.500,3.500,14.000,-1.0008,27.115,16,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-9.224,9.283,2.600
reference_family_flat_semantic_constraint_019,semantic_constraint,reference_family_flat,12.714,16.374,-8.594,-2.827,-2.8386,28.683,18,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,2.221,6.595,2.600
reference_family_flat_semantic_constraint_020,semantic_constraint,reference_family_flat,-4.996,6.651,4.563,7.727,-2.5132,9.619,5,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-0.076,5.941,2.600
reference_family_flat_semantic_constraint_021,semantic_constraint,reference_family_flat,-19.000,-8.000,-8.500,10.000,1.9279,20.839,11,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-13.546,0.881,2.600
reference_family_flat_semantic_constraint_022,semantic_constraint,reference_family_flat,18.000,-7.500,8.500,-15.500,2.2680,12.420,7,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,13.788,-12.139,2.600
reference_family_flat_semantic_constraint_023,semantic_constraint,reference_family_flat,21.015,0.484,14.084,5.095,-0.3057,8.325,5,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,17.821,3.198,2.600
